source_label,coa,coa2,account_type,notes
Pest Control (5640),Repairs & Maintenance,,Expense,Pest prevention and extermination services
Elevator Maintenance (5650),Repairs & Maintenance,,Expense,Elevator service contracts and repairs
HVAC Repairs (5655),Repairs & Maintenance,,Expense,Heating and cooling system repairs
Security System (5660),Security,,Expense,Security monitoring system and equipment costs
Gate & Fence (5665),Repairs & Maintenance,,Expense,Gate access system and fence repairs
Fire Prevention (5670),Fire Prevention,,Expense,Fire suppression system inspections and service
Painting (5680),Repairs & Maintenance,,Expense,Interior and exterior painting and touch-up
Auction (5700),Auction,,Expense,Lien sale and auction costs
Auctioneer (5705),Other Expense,,Expense,Auctioneer fees for lien sales
Resale Merchandise (5740),Retail Products,,Expense,Cost of retail merchandise and supplies sold
Property & Casualty Insurance (5785),Insurance,,Expense,Property and casualty insurance premium
NRI,Net Rental Income,Net Rental Income,EXR_Rollup,EXR net rental income subtotal — do not aggregate in model (detail lines captured separately)
Admin Fees,Admin Fee Income,,EXR_Rollup,EXR net admin fees subtotal — do not aggregate in model (detail lines captured separately)
Late Fees,Late Fee Income,,EXR_Rollup,EXR net late fees subtotal — do not aggregate in model (detail lines captured separately)
Other Fees,Other Tenant Income,,EXR_Rollup,EXR net other fees subtotal — do not aggregate in model (detail lines captured separately)
Revenue - Property,Total Operating Income,Total Operating Income,EXR_Rollup,EXR total revenue rollup — do not aggregate in model (individual income lines captured separately)
Payroll,Payroll,,EXR_Rollup,EXR payroll subtotal (5000-5090) — do not aggregate in model
Management Fees,Current Mgmt. Fee,,EXR_Rollup,EXR management fee subtotal — do not aggregate in model
Marketing,Advertising & Marketing,,EXR_Rollup,EXR marketing subtotal (5210 + 5220) — do not aggregate in model
Office & Employee,Office Supplies,,EXR_Rollup,EXR office and employee expense subtotal — do not aggregate in model
Administrative,Other Expense,,EXR_Rollup,EXR broader administrative expense subtotal — do not aggregate in model
R&M,Repairs & Maintenance,,EXR_Rollup,EXR R&M subtotal (5600-5680) — do not aggregate in model
Utilities,Utilities,,EXR_Rollup,EXR utilities subtotal (5300 + 5320 + 5610) — do not aggregate in model
Other,Other Expense,,EXR_Rollup,EXR miscellaneous expense subtotal — do not aggregate in model
Expense - Property,Total Operating Expense,Total Operating Expense,EXR_Rollup,EXR total operating expense rollup — do not aggregate in model (individual expense lines captured separately)
Net Operating Income,Net Operating Income,Net Operating Income,EXR_Rollup,EXR calculated NOI — do not aggregate in model (derived from income minus expenses)
